geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
ES111,27894.34,593.0,419.0,174.0,49.7,1085.0,109.0,263.0,86.0
ES112,26425.8,670.0,505.0,165.0,52.3,1061.0,99.0,302.0,112.0
ES113,26720.68,710.0,552.0,159.0,53.3,1082.0,93.0,323.0,122.0
ES114,25096.01,559.0,385.0,173.0,48.9,1073.0,111.0,247.0,77.0
ES120,26558.47,617.0,459.0,158.0,51.6,1095.0,98.0,284.0,85.0
ES130,26573.02,560.0,382.0,177.0,48.9,1065.0,114.0,245.0,71.0
ES211,38448.8,565.0,358.0,207.0,47.4,1030.0,132.0,229.0,70.0
ES212,36460.88,575.0,379.0,197.0,47.9,1046.0,125.0,240.0,73.0
ES213,35701.56,569.0,387.0,182.0,48.8,1066.0,116.0,247.0,77.0
ES220,34919.51,536.0,322.0,214.0,45.6,1018.0,139.0,210.0,64.0
ES230,30560.01,551.0,349.0,202.0,47.0,1028.0,130.0,225.0,70.0
ES241,33889.58,561.0,363.0,198.0,47.3,964.0,127.0,232.0,76.0
ES242,30364.86,590.0,392.0,198.0,48.2,962.0,125.0,247.0,84.0
ES243,32990.67,539.0,341.0,197.0,46.7,1037.0,128.0,222.0,70.0
ES300,39620.46,474.0,278.0,196.0,44.2,1088.0,133.0,189.0,58.0
ES411,21800.97,625.0,442.0,183.0,50.7,990.0,113.0,272.0,95.0
ES412,30181.26,594.0,408.0,186.0,49.4,998.0,117.0,256.0,84.0
ES413,26169.73,644.0,483.0,160.0,52.4,1054.0,98.0,294.0,103.0
ES414,29832.33,636.0,461.0,175.0,51.4,1014.0,107.0,282.0,90.0
ES415,26503.21,633.0,463.0,169.0,51.4,1064.0,104.0,284.0,103.0
ES416,26343.42,558.0,371.0,187.0,48.4,993.0,120.0,238.0,81.0
ES417,30675.87,604.0,418.0,186.0,49.6,967.0,116.0,260.0,96.0
ES418,29459.68,585.0,399.0,187.0,49.2,1054.0,118.0,251.0,79.0
ES419,24700.36,710.0,559.0,151.0,54.5,1020.0,88.0,327.0,123.0
ES421,24683.46,509.0,315.0,194.0,46.3,992.0,129.0,208.0,66.0
ES422,24949.89,530.0,334.0,196.0,46.6,1015.0,128.0,218.0,68.0
ES423,28710.33,548.0,365.0,183.0,47.9,979.0,118.0,236.0,84.0
ES424,25269.73,455.0,247.0,208.0,44.0,967.0,143.0,170.0,51.0
ES425,22095.65,505.0,283.0,222.0,44.3,989.0,148.0,188.0,58.0
ES431,20429.56,524.0,328.0,196.0,46.6,1027.0,129.0,215.0,65.0
ES432,25305.11,576.0,400.0,177.0,49.7,1019.0,112.0,254.0,84.0
ES511,33555.03,487.0,293.0,194.0,44.4,1043.0,131.0,197.0,60.0
ES512,33261.31,501.0,288.0,213.0,44.2,994.0,142.0,192.0,53.0
ES513,31277.84,509.0,303.0,206.0,45.3,946.0,136.0,201.0,62.0
ES514,33042.77,516.0,305.0,211.0,45.2,997.0,139.0,201.0,57.0
ES521,21986.67,520.0,319.0,202.0,45.9,1022.0,133.0,210.0,56.0
ES522,29352.13,510.0,307.0,203.0,45.8,1011.0,134.0,203.0,59.0
ES523,26170.62,493.0,298.0,195.0,45.4,1043.0,130.0,200.0,58.0
ES531,29889.72,359.0,186.0,173.0,41.9,962.0,128.0,137.0,32.0
ES532,32364.34,445.0,249.0,195.0,43.2,1016.0,135.0,172.0,47.0
ES533,23978.05,440.0,265.0,175.0,44.8,1007.0,122.0,184.0,48.0
ES611,22304.31,468.0,240.0,229.0,42.1,959.0,156.0,163.0,40.0
ES612,20679.22,485.0,286.0,199.0,45.4,1033.0,134.0,192.0,49.0
ES613,20020.87,529.0,330.0,199.0,46.5,1046.0,130.0,216.0,65.0
ES614,20713.68,500.0,299.0,201.0,45.1,1034.0,134.0,199.0,56.0
ES615,24212.57,471.0,272.0,199.0,44.7,1015.0,135.0,185.0,50.0
ES616,18805.46,517.0,326.0,191.0,46.6,1020.0,126.0,215.0,65.0
ES617,21704.63,485.0,281.0,203.0,44.7,1048.0,137.0,190.0,49.0
ES618,23331.26,481.0,272.0,208.0,44.5,1051.0,141.0,184.0,50.0
ES620,24437.42,479.0,252.0,227.0,42.8,996.0,153.0,170.0,47.0
ES630,21270.5,442.0,197.0,244.0,39.2,983.0,170.0,137.0,31.0
ES640,19496.77,476.0,187.0,289.0,36.7,989.0,196.0,127.0,28.0
ES703,18463.69,503.0,345.0,158.0,47.8,980.0,105.0,229.0,74.0
ES704,22946.64,354.0,176.0,178.0,42.3,956.0,131.0,130.0,23.0
ES705,22044.79,415.0,264.0,151.0,46.3,1028.0,107.0,186.0,47.0
ES706,19097.4,492.0,360.0,132.0,50.3,968.0,88.0,241.0,70.0
ES707,19942.62,473.0,323.0,150.0,48.1,1023.0,102.0,219.0,67.0
ES708,24506.87,372.0,196.0,176.0,42.8,988.0,128.0,143.0,30.0
ES709,22599.41,426.0,266.0,160.0,45.8,1044.0,112.0,186.0,49.0
