geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
BE100,443.0,187.0,256.0,36.1,1030.0,177.0,130.0,37.0
BE211,580.0,308.0,272.0,40.5,1010.0,172.0,195.0,57.0
BE212,592.0,342.0,250.0,43.2,1030.0,157.0,215.0,62.0
BE213,598.0,357.0,241.0,44.8,996.0,151.0,223.0,59.0
BE223,603.0,370.0,233.0,45.8,1006.0,145.0,231.0,60.0
BE224,592.0,359.0,233.0,44.7,1014.0,146.0,226.0,61.0
BE225,600.0,362.0,238.0,45.2,989.0,148.0,227.0,59.0
BE231,594.0,340.0,254.0,43.9,1034.0,159.0,214.0,61.0
BE232,590.0,345.0,245.0,44.2,1025.0,154.0,217.0,60.0
BE233,598.0,364.0,234.0,45.1,999.0,146.0,228.0,68.0
BE234,540.0,306.0,234.0,41.2,1014.0,152.0,199.0,59.0
BE235,597.0,349.0,249.0,44.5,1020.0,156.0,218.0,64.0
BE236,599.0,333.0,266.0,42.5,1018.0,166.0,208.0,59.0
BE241,598.0,312.0,286.0,41.8,1044.0,179.0,195.0,57.0
BE242,578.0,341.0,236.0,43.4,1025.0,150.0,216.0,63.0
BE251,663.0,447.0,216.0,48.4,1024.0,130.0,269.0,81.0
BE252,618.0,362.0,255.0,44.2,998.0,158.0,224.0,70.0
BE253,632.0,376.0,255.0,44.4,998.0,156.0,231.0,70.0
BE254,616.0,355.0,260.0,43.0,1016.0,161.0,220.0,67.0
BE255,724.0,503.0,221.0,50.5,1018.0,128.0,292.0,83.0
BE256,595.0,342.0,253.0,42.9,996.0,158.0,215.0,69.0
BE257,599.0,349.0,250.0,43.8,990.0,156.0,218.0,68.0
BE258,885.0,691.0,194.0,57.2,1034.0,103.0,367.0,100.0
BE310,584.0,334.0,250.0,43.3,1062.0,158.0,211.0,57.0
BE323,560.0,311.0,249.0,42.0,1058.0,160.0,199.0,46.0
BE328,572.0,323.0,249.0,42.5,1029.0,158.0,206.0,53.0
BE329,577.0,322.0,255.0,42.3,1058.0,162.0,204.0,50.0
BE32A,559.0,318.0,241.0,43.6,1034.0,155.0,204.0,50.0
BE32B,576.0,304.0,272.0,40.9,1048.0,173.0,193.0,47.0
BE32C,559.0,302.0,257.0,42.1,1043.0,165.0,194.0,47.0
BE32D,602.0,357.0,246.0,44.3,1032.0,153.0,223.0,53.0
BE331,557.0,307.0,249.0,42.5,1032.0,160.0,197.0,46.0
BE332,569.0,314.0,255.0,41.2,1037.0,162.0,200.0,51.0
BE334,552.0,311.0,241.0,43.4,1041.0,155.0,200.0,47.0
BE335,592.0,324.0,268.0,41.8,1026.0,168.0,203.0,51.0
BE336,599.0,338.0,261.0,44.0,1008.0,163.0,211.0,60.0
BE341,477.0,234.0,244.0,39.5,990.0,165.0,158.0,43.0
BE342,528.0,259.0,270.0,39.1,984.0,176.0,169.0,41.0
BE343,582.0,333.0,249.0,42.8,991.0,157.0,210.0,49.0
BE344,570.0,300.0,271.0,40.6,1000.0,172.0,191.0,48.0
BE345,549.0,292.0,257.0,41.2,1028.0,166.0,188.0,48.0
BE351,584.0,333.0,251.0,43.2,1014.0,158.0,210.0,51.0
BE352,552.0,307.0,245.0,41.6,1036.0,158.0,198.0,48.0
BE353,571.0,339.0,232.0,44.4,1011.0,147.0,216.0,51.0
