geo,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
RO111,538.0,290.0,247.0,42.6,1044.0,161.0,189.0,37.0
RO112,538.0,276.0,262.0,41.8,1006.0,170.0,180.0,37.0
RO113,532.0,301.0,231.0,42.2,1065.0,151.0,197.0,46.0
RO114,520.0,288.0,232.0,43.2,1036.0,153.0,189.0,39.0
RO115,512.0,270.0,242.0,42.7,1053.0,160.0,179.0,33.0
RO116,586.0,324.0,262.0,44.2,1032.0,165.0,204.0,45.0
RO121,567.0,345.0,222.0,45.9,1022.0,142.0,220.0,47.0
RO122,607.0,338.0,269.0,43.0,1063.0,168.0,210.0,42.0
RO123,557.0,302.0,255.0,43.0,1028.0,164.0,194.0,43.0
RO124,564.0,309.0,255.0,43.1,1023.0,163.0,198.0,46.0
RO125,568.0,315.0,253.0,43.4,1035.0,162.0,201.0,47.0
RO126,568.0,309.0,259.0,42.4,1057.0,165.0,197.0,39.0
RO211,577.0,317.0,260.0,43.5,1029.0,165.0,201.0,44.0
RO212,524.0,283.0,242.0,42.4,993.0,158.0,186.0,48.0
RO213,571.0,270.0,300.0,38.7,1027.0,191.0,172.0,37.0
RO214,606.0,357.0,250.0,45.6,1044.0,155.0,222.0,54.0
RO215,588.0,284.0,304.0,40.5,1020.0,191.0,179.0,43.0
RO216,593.0,315.0,278.0,43.0,976.0,174.0,198.0,46.0
RO221,586.0,383.0,203.0,48.1,1057.0,128.0,241.0,56.0
RO222,595.0,373.0,222.0,47.1,1043.0,139.0,234.0,56.0
RO223,564.0,317.0,247.0,43.9,1066.0,158.0,202.0,39.0
RO224,578.0,340.0,238.0,45.6,1044.0,151.0,215.0,46.0
RO225,575.0,353.0,222.0,46.9,1018.0,141.0,224.0,40.0
RO226,578.0,332.0,247.0,44.5,1030.0,156.0,210.0,49.0
RO311,542.0,329.0,214.0,46.4,1055.0,139.0,213.0,48.0
RO312,564.0,321.0,243.0,44.6,1021.0,156.0,205.0,48.0
RO313,532.0,308.0,223.0,44.6,1029.0,146.0,201.0,44.0
RO314,559.0,331.0,228.0,45.4,1014.0,146.0,213.0,49.0
RO315,604.0,333.0,271.0,44.9,1023.0,169.0,207.0,48.0
RO316,556.0,345.0,211.0,46.8,1063.0,136.0,222.0,52.0
RO317,642.0,436.0,206.0,49.4,1025.0,125.0,266.0,68.0
RO321,532.0,300.0,232.0,42.8,1160.0,151.0,196.0,43.0
RO322,440.0,194.0,247.0,40.1,1060.0,171.0,134.0,26.0
RO411,566.0,330.0,237.0,44.8,1061.0,151.0,211.0,47.0
RO412,489.0,299.0,190.0,46.4,1017.0,128.0,201.0,42.0
RO413,560.0,355.0,205.0,47.5,1031.0,131.0,227.0,48.0
RO414,549.0,352.0,197.0,47.4,1018.0,127.0,227.0,52.0
RO415,590.0,387.0,203.0,48.3,1041.0,128.0,243.0,65.0
RO421,551.0,315.0,236.0,44.4,1043.0,152.0,203.0,39.0
RO422,603.0,392.0,211.0,47.7,1046.0,132.0,244.0,49.0
RO423,576.0,375.0,201.0,49.0,1064.0,127.0,238.0,51.0
RO424,529.0,290.0,240.0,42.1,1063.0,157.0,189.0,36.0
