geo,employment_rate_per1000,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
HU110,975.9,494.0,311.0,183.0,44.0,1125.0,123.0,208.0,56.0
HU120,399.44,526.0,275.0,251.0,43.2,1052.0,164.0,180.0,41.0
HU211,462.37,544.0,318.0,226.0,45.0,1042.0,147.0,206.0,44.0
HU212,488.88,524.0,304.0,220.0,44.5,1050.0,144.0,200.0,45.0
HU213,415.08,570.0,357.0,213.0,46.6,1059.0,135.0,228.0,51.0
HU221,490.99,520.0,296.0,224.0,44.0,1050.0,147.0,195.0,43.0
HU222,445.42,550.0,342.0,208.0,46.4,1059.0,134.0,221.0,48.0
HU223,403.48,595.0,400.0,195.0,48.7,1075.0,122.0,251.0,54.0
HU231,381.5,563.0,359.0,204.0,46.2,1095.0,130.0,230.0,54.0
HU232,338.54,599.0,386.0,213.0,47.6,1076.0,133.0,242.0,51.0
HU233,401.73,596.0,373.0,223.0,46.8,1059.0,140.0,234.0,51.0
HU311,350.07,573.0,316.0,257.0,43.2,1064.0,164.0,201.0,44.0
HU312,388.93,576.0,349.0,227.0,45.4,1077.0,144.0,221.0,51.0
HU313,269.1,583.0,354.0,229.0,46.0,1054.0,145.0,224.0,50.0
HU321,386.81,534.0,303.0,231.0,43.0,1048.0,151.0,197.0,45.0
HU322,352.57,581.0,345.0,236.0,45.2,1052.0,149.0,218.0,51.0
HU323,324.3,539.0,287.0,252.0,42.6,1055.0,164.0,186.0,35.0
HU331,396.41,576.0,346.0,230.0,45.7,1061.0,146.0,220.0,50.0
HU332,338.72,596.0,386.0,211.0,47.5,1071.0,132.0,242.0,55.0
HU333,413.02,551.0,345.0,206.0,45.4,1082.0,133.0,223.0,54.0
