geo,gdp_per_capita_eur,total_dependency_ratio_per1000,old_age_dependency_ratio_per1000,youth_dependency_ratio_per1000,median_age_years,females_per1000_males,young_0_14_per1000,elderly_65plus_per1000,oldest_80plus_per1000
AT111,30269.16,635.0,440.0,195.0,51.1,1032.0,120.0,269.0,75.0
AT112,37963.04,584.0,367.0,217.0,47.8,1050.0,137.0,232.0,64.0
AT113,31160.13,624.0,425.0,199.0,50.8,1040.0,122.0,262.0,69.0
AT121,38989.02,563.0,322.0,241.0,44.3,1002.0,154.0,206.0,61.0
AT122,35506.75,561.0,338.0,223.0,45.7,1038.0,143.0,216.0,66.0
AT123,49721.32,547.0,321.0,225.0,44.8,1025.0,146.0,208.0,63.0
AT124,36491.07,602.0,394.0,208.0,48.9,1016.0,130.0,246.0,75.0
AT125,28628.6,597.0,383.0,214.0,48.7,1024.0,134.0,240.0,68.0
AT126,36413.21,559.0,327.0,232.0,46.2,1042.0,149.0,210.0,65.0
AT127,54502.45,548.0,325.0,223.0,46.2,1055.0,144.0,210.0,67.0
AT130,57373.23,447.0,239.0,209.0,39.7,1040.0,144.0,165.0,50.0
AT211,51626.82,568.0,364.0,204.0,47.1,1063.0,130.0,232.0,70.0
AT212,35784.85,629.0,419.0,210.0,49.5,1033.0,129.0,257.0,77.0
AT213,40802.64,604.0,394.0,210.0,48.5,1021.0,131.0,245.0,71.0
AT221,58027.73,475.0,271.0,205.0,41.3,1023.0,139.0,184.0,58.0
AT222,43054.81,615.0,406.0,210.0,48.7,1041.0,130.0,251.0,77.0
AT223,45190.15,631.0,434.0,197.0,49.9,1035.0,121.0,266.0,87.0
AT224,37090.63,583.0,362.0,221.0,47.4,1013.0,139.0,229.0,65.0
AT225,35553.51,574.0,366.0,207.0,48.1,1024.0,132.0,233.0,65.0
AT226,38717.83,627.0,417.0,209.0,49.2,1028.0,129.0,257.0,80.0
AT311,45403.51,542.0,307.0,234.0,44.0,990.0,152.0,199.0,56.0
AT312,64305.23,523.0,296.0,227.0,42.6,1020.0,149.0,194.0,58.0
AT313,33637.06,560.0,311.0,249.0,44.0,985.0,160.0,199.0,55.0
AT314,48122.78,572.0,340.0,232.0,45.0,1011.0,147.0,216.0,65.0
AT315,44204.7,567.0,335.0,232.0,45.0,1022.0,148.0,214.0,63.0
AT321,40790.71,586.0,369.0,217.0,47.1,1016.0,137.0,232.0,70.0
AT322,50720.1,550.0,317.0,233.0,44.4,1029.0,151.0,204.0,57.0
AT323,66807.21,528.0,311.0,217.0,43.5,1050.0,142.0,203.0,62.0
AT331,54338.72,562.0,344.0,218.0,46.1,1017.0,139.0,220.0,62.0
AT332,52230.95,496.0,290.0,206.0,42.5,1030.0,138.0,194.0,61.0
AT333,40019.26,581.0,353.0,227.0,46.8,1022.0,144.0,224.0,70.0
AT334,51421.77,513.0,281.0,233.0,43.3,1016.0,154.0,186.0,53.0
AT335,53312.73,532.0,307.0,225.0,44.3,1025.0,147.0,201.0,58.0
AT341,59546.38,547.0,303.0,244.0,43.5,994.0,158.0,196.0,57.0
AT342,59603.74,523.0,284.0,239.0,42.5,1013.0,157.0,187.0,56.0
